code US,Dépendence,US (User Story Description),critères d'acceptation,Priorité,Story points,État,Sprint,Personne(s) assignée(s),Commentaires
US_C1,/,"En tant qu'utilisateur, je veux nettoyer les corpus bruts (supprimer les balises, métadonnées et annotations inutiles), afin d’obtenir des fichiers textuels exploitables pour l’annotation et l’analyse de complexité.",Corpus lisibles sans balises techniques,Haute,1,Fait,1,Baptiste,"Première étape du projet , cette étape permet de nettoyer les corpus en supprimant les balises, les métadonnées afin de rendre les données exploitables pour les traitements linguistiques."
US_C3,US_C1 US_C2,"En tant qu'utilisateur, je veux segmenter les corpus nettoyés en phrases et en mots (tokens), afin de faciliter l’annotation linguistique et le calcul d’indices de complexité.",Segmentation validée et stockée dans un format standard (.csv).,Haute,2,Fait,1,Béni,Cette étape va être réalisée après le nettoyage des corpus pour garantir une unité d’analyse cohérente pour l’annotation linguistique et le calcul des indices de complexité syntaxique.
US_C4,US_C1 US_C2,"Je veux générer automatiquement des fichiers TXT où chaque phrase est placée sur une ligne distincte,
afin de préparer un corpus propre et segmenté pour les étapes d’annotation linguistique (POS, dépendances, complexité syntaxique","Chaque fichier source est converti en un fichier TXT.
Le TXT généré contient une phrase par ligne, sans mélange ni doublon.",Haute,2,Fait,1,Béni,"Cette tâche permet d’harmoniser l’ensemble des corpus issus de formats hétérogènes (XML, TEI, TXM, CoNLL-U) vers un format texte brut uniforme, avec une phrase par ligne, facilitant l’utilisation des outils TAL."
,,,,,,,,,
US_A2,US_C2,"En tant qu'utilisateur, je souhaite annoter automatiquement le corpus nettoyé (POS, lemme et dépendances syntaxiques) pour préparer le calcul de complexité.","Les phrases sont annotées automatiquement par un outil TAL (POS, lemme, dépendances).",Haute,3,Fait,1,"Baptiste,Béni","L’annotation automatique s’est appuyée sur la bibliothèque SpaCy, en utilisant le schéma Universal Dependencies, afin de préparer l’extraction d’indices de complexité syntaxique."
US_A3,US_A2,"En tant qu'utilisateur, je souhaite avoir une méthodologie d’annotation automatique basée sur UD        ",Fournir une méthodologie d'annotation basée sur UD,Haute,1,Fait,1,Tanina,Une méthodologie d’annotation automatique fondée sur les principes d’Universal Dependencies va etreformalisée afin d’assurer la cohérence des annotations produites.
US_A4,US_A2,"En tant qu’utilisateur, je souhaite valider manuellement un échantillon de phrases annotées afin de garantir la fiabilité des annotations automatiques.",Un échantillon représentatif est validé manuellement selon un guide d’annotation unique.,Moyenne,1,Fait,1,Tous,Un contrôle manuel va etre effectué sur un échantillon représentatif de phrases afin d’évaluer la fiabilité des annotations automatiques et d’identifier d’éventuelles erreurs systématiques.
,,,,,,,,,
US_R_1,US_A_2,"En tant qu'utilisateur,je souhaite relier les indices de complexité syntaxique à la littérature existante afin d’assurer leur validité scientifique.",État de l’art sur les indices de complexité syntaxique réalisé et sources citées,Haute,1,Fait ,1,Tous,"cette étape permet de faire une grille d'indices dans un cadre theorique solide, en reliant chaque indice à des références scientifiques reconnues."
US_R_2,US_P_1,"En tant qu'utilisateur, je souhaite lister les indices de complexité syntaxique pertinents à partir de la littérature (longueur, nb de verbes, subordonnées, lexique…).", Grille d’indices finalisée et validée.(csv),Haute,2,Fait ,1,Tanina,"Les indices vont etre sélectionnés à partir de la littérature scientifique sur la complexité syntaxique, en privilégiant des indices formels, mesurables et récurrents dans plusieurs travaux et outils existants."
,,,,,,,,,
US_P_1,US_P_1,"En tant qu'utilisateur, je souhaite tester différents outils TAL afin de voir lesquels calculent ces indices(Spacy,Stanza, TAASSC, ALSI, Textdescriptive)",Rapport comparatif des outils (atouts/limites).,Haute,3,Fait ,1,Tous,"Plusieurs outils vont etre testés(TAASSC,ALSI, TexteDescriptives, SpaCy, Stanza) afin de voir leur capacité à produire ou non des indices de complexité syntaxique exploitables pour le projet."
US_P_2,US_P_3,"En tant qu’utilisateur, nous souhaitons construire un tableau récapitulatif des outils TAL testés afin de synthétiser leur rôle dans l’analyse de la complexité syntaxique et d’évaluer leur apport pour le projet CoSy.","Tableau complété présentant, pour chaque outil, sa fonction, son rôle dans la complexité syntaxique, les mesures proposées, les problèmes rencontrés, les limites, les apports pour le projet CoSy ainsi que le lien vers l’outil.",Haute,1,Fait ,1,Tous,"Le tableau récapitulatif permet de comparer de manière structurée les outils explorés en mettant en évidence leur utilité réelle pour le projet CoSy, leurs limites techniques et méthodologiques."
US_P_3,US_P_3,"En tant qu'utilisateur, je souhaite développer ou adapter un algorithme si les outils existants ne suffisent pas.",Script Python produisant les indices de complexité.,faible,2,Fait ,1,Tous,Face aux limites des outils existants nous avons choisi de développer des scripts afin d’extraire automatiquement certains indices de complexité syntaxique à partir des annotations UD.
US_P_4,,"En tant qu'utilisateur je souhaite, proposer des indices non retrouvés dans les outils existant pour une implémentation ultérieure",Lexique fréquence de mots,faible,1,Fait ,1,Tous,Face aux limites des outils existants nous avons proposé un indice  qui nous semble pertinent
US_P_5,/,"En tant qu'utilisateur, je souhaite proposer des interfaces au jeu phrase en désordre",Exemples d'interface sous format jpg ou pdf,faible,1,Fait ,1,"Ouarda, Tanina",cette proposition d'interface visent à illustrer comment les indices pourraient etre intergres dans le jeu.
US_P_6,US_P_1,En tan qu'utilisateur je souhaite proposer des niveaux de difficultés au jeux ,les niveaux de difficultés déterminer,faible,1,Fait ,1,Tous,les niveaux de difficulté du jeu sont définis à partir des indices de complexité syntaxique qu'une phrase a.
,,,,,,,,,
US_L_1,,"En tant qu'équipe projet, nous souhaitons envoyer un compte rendu intermédiaire au responsable afin qu’il puisse suivre l’avancement du projet à mi-parcours.",fichier .(zip) qui regroupe nos productions à mi-semestre ,Haute,1,Fait,1,"Béni, Ouarda, Tanina","le compte rendu intermédiaire permet de présenter l'état d'avancement du projet, les premieres orientations retenues, tout en nous aidant à améliorer notre démarche grace aux retours et ajustements proposés par le responsable du projet."
